user,review_count,median_rating,max_rating,min_rating,mean_rating
softfairy,722,7,10,2,6.846260387811634
soiledshortz,663,7,10,1,6.802941176470588
Solamar,568,6.5,10,3,6.54277676056338
Solat,795,6,9,2,6.4937106918239
Solid,810,5,10,0.001,5.198149382716049
solone,550,6,9,1,6.167272727272727
solove,898,7,10,1,6.785077951002227
Somebodyatthedoor,607,7,10,1,6.4258649093904445
SommeGrandads,518,6,10,1,6.136100386100386
sonde,582,7,10,2,7.082474226804123
Sonicwarhol,691,6,10,1,6.247467438494935
sonny1030,642,7,10,2,7.083333333333333
Sorp222,1086,6,10,1,6.244475138121547
Sorrellbo,775,6,10,2,6.2709677419354835
Sortrose,551,6,10,1,6.1796733212341195
soulcircus,560,7.5,10,3,7.6433928571428575
Sounder,594,7.5,10,2,7.337962962962963
Southern Fried GN,522,8,10,1,7.676245210727969
spacecase90,944,6,10,1,6.2621822033898304
spacie81,628,5,10,1,5.1584394904458595
spadovsky,537,6,10,1,6.034450651769087
Spalkulus,871,7.5,10,1,7.176234213547646
Sparkles,537,7.3,9.7,2,7.180633147113594
Sparticuse,671,7,10,1,6.663189269746646
Spatulaguy,705,6,10,3,6.361702127659575
speavy,1324,6.9,10,4,6.816691842900302
Speelmannetje,509,7,10,2,7.1237721021611
spellengek,1103,6,10,2,6.308250226654579
Speshul,615,7.5,10,2,7.626178861788618
Spiderman_,1078,6,10,2,6.288497217068645
Spielbox Ratings,622,7,10,1,6.810610932475885
SpieleHolger,979,7,10,2,6.72267620020429
Spielfreak,499,7,10,1,6.482965931863728
spielfriek,597,7,10,1,7.21608040201005
spielmonster,1178,7,10,3,7.115449915110356
spife,507,6.5,9.5,1,6.1962524654832345
spinli,2092,7,10,1,7.050047801147228
spiritraw,950,6,10,1,5.866105263157895
Spleen,734,7,10,1,6.34741144414169
Spoonmonster,912,7,10,4,6.755482456140351
SPQR1,579,7.2,10,1,7.199654576856649
spriditis,596,7,10,2,6.999161073825503
Spyzou,786,6,10,1,5.899491094147582
squared82,554,7,10,2,7.176534296028881
squaredeh,717,6,9,1,6.0535564853556485
Squeezel,1262,6,10,1,5.9227416798732175
srand,922,6,10,1,5.842733188720174
sshawmd,593,7,10,2,7.021922428330523
ssheasby,610,7,10,1,6.656557377049181
ssmooth,888,6,10,1,6.136768018018018
sszy59,865,8,10,3,7.955144508670521
StalkerB,508,6,10,1,6.118602362204724
StalkingButler,1202,6.5,10,1,6.3831114808652245
stanczes,1605,7,10,1,6.6560747663551405
starfix,996,5,10,2,5.426706827309237
Starkiller,618,6,10,1,6.018608414239482
starpino,579,7.3,10,3,7.337651122625216
Starsunsky,1112,6.5,8,1,6.369064748201438
Startagain,718,7,10,3,6.759052924791086
startrouble,681,7.5,10,4,7.284875183553598
Starvince,829,7,10,1,7.329312424607961
staszek,660,5,10,2,5.3954545454545455
StatSig,691,6.75,10,1,6.473010130246021
Stavros,702,6,10,2,6.378917378917379
steadzy,1895,7,10,1,6.707651715039578
steckman,679,6.5,10,1,6.287923416789396
stefaan,995,7,9.5,2,6.673869346733668
Stefan Brück,555,6,10,1,5.951351351351351
StefanvM1,920,6,9.5,1,6.244021739130435
stefcioo1331,537,7,10,1,6.495344506517691
Stefu,687,7,10,1,6.5400291120815135
steinhauser,1246,6,10,1,5.901926163723917
Stephan Valkyser,1219,5.7,10,1,5.608613617719442
stephaniepa,870,7,9,4,6.944827586206896
Stephen Glenn,762,6,10,2,6.246062992125984
stephenstover,521,6.5,10,1,6.362284069097889
StephenV,982,7,10,1,6.385947046843177
Sternenfahrer-MUC,828,6,10,2,6.0690338164251205
stev4uth,614,6,10,2,6.3661237785016285
Steve Be,701,7,10,2,6.95435092724679
Steve Leach,609,6,10,1,5.627257799671593
steve perkins,968,7,10,2,7.117768595041323
Steve99,527,7,10,1,7.2960151802656545
stevejuggler,537,6,9.97,1,5.569311005586592
SteveK2,1375,7,10,1,6.981018181818182
StevenBedell,1804,8,10,1,7.592017738359202
stevencole,499,7,10,1,6.731462925851703
stevepwalker,656,7,10,1,7.166158536585366
stevie3011,736,7,10,1,6.987024456521739
Stewartgraham,578,7,10,1,6.882352941176471
StewartTame,543,7,10,2,6.834254143646409
Stexe,496,6.25,10,1,6.021745967741936
StFrantic,575,7,10,3,6.580869565217391
sthforever,830,7.5,10,3,7.3993975903614455
Stinkfoot71,607,7,10,1,6.782537067545305
stmountain,509,7,10,1,6.424361493123772
Stocki14,533,7.25,10,2,7.153001876172608
Stoertebeker68,693,7,10,3,7.426984126984127
stoneart69,1391,5,10,1,5.609633357296909
stoneghe,626,7,10,1,7.337635782747604
StoneR,1684,6,10,1,5.583729216152019
Stony,933,6,10,1,5.703108252947481
Stoods,534,7,10,2,6.617041198501872
